code,errorCoded,errorCodedWithoutNA,naCoded,errorGenderBias
AND,0,0,0,0
ARE,0.15,0.105263157894737,0.05,-0.105263157894737
AFG,0.1,0.1,0,-0.1
ATG,0.1,0.1,0,0.1
ALB,0.1,0.1,0,0
ARM,0.45,0.214285714285714,0.3,-0.0714285714285714
AGO,0.166666666666667,0,0.166666666666667,0
ARG,0,0,0,0
AUT,0.15,0.0555555555555556,0.1,-0.0555555555555556
AUS,0.15,0.15,0,-0.05
ABW,0,0,0,0
AZE,0.2,0.157894736842105,0.05,0.157894736842105
BIH,0.05,0.05,0,0.05
BRB,0.05,0.05,0,0.05
BGD,0.1,0.1,0,0.1
BEL,0.15,0.15,0,-0.05
BFA,0.1,0.1,0,0
BGR,0.35,0.0714285714285714,0.3,-0.0714285714285714
BHR,0.15,0.0555555555555556,0.1,0.0555555555555556
BDI,0.1,0.1,0,-0.1
BEN,0.1,0.0526315789473684,0.05,-0.0526315789473684
BRN,0,0,0,0
BOL,0.1,0,0.1,0
BRA,0.05,0.05,0,-0.05
BHS,0,0,0,0
BTN,0.333333333333333,0.333333333333333,0,0.333333333333333
,0.05,0,0.05,0
BWA,0.05,0,0.05,0
BLR,0.15,0.105263157894737,0.05,0.105263157894737
BLZ,0.1,0.0526315789473684,0.05,0.0526315789473684
CAN,0.4,0.142857142857143,0.3,0
,0.2,0.2,0,0.1
COD,0.1,0.0526315789473684,0.05,0.0526315789473684
CAF,0.2,0.111111111111111,0.1,-0.111111111111111
COG,0.05,0,0.05,0
CHE,0.1,0,0.1,0
CIV,0.05,0.05,0,-0.05
CHL,0,0,0,0
CMR,0,0,0,0
CHN,0.85,0.666666666666667,0.55,-0.666666666666667
COL,0,0,0,0
CRI,0,0,0,0
CUB,0.125,0,0.125,0
CYP,0.05,0.05,0,0.05
CZE,0.1,0,0.1,0
DEU,0.05,0,0.05,0
DJI,0.1,0.0526315789473684,0.05,-0.0526315789473684
DNK,0,0,0,0
DMA,0.1,0.1,0,0
DOM,0,0,0,0
DZA,0.15,0.105263157894737,0.05,0
ECU,0.05,0.05,0,-0.05
EST,0.15,0.0555555555555556,0.1,-0.0555555555555556
EGY,0.05,0.05,0,0.05
ERI,0.05,0.05,0,0.05
ESP,0,0,0,0
ETH,0,0,0,0
FIN,0.1,0.1,0,0
FJI,0.1,0.1,0,0
FRA,0,0,0,0
GAB,0.05,0,0.05,0
GBR,0.2,0.0588235294117647,0.15,-0.0588235294117647
GRD,0.1,0.1,0,0.1
GEO,0.2,0.157894736842105,0.05,-0.157894736842105
GHA,0.1,0.1,0,0.1
GRL,0.15,0.105263157894737,0.05,0.105263157894737
GMB,0,0,0,0
GIN,0,0,0,0
GNQ,0,0,0,0
GRC,0.2,0,0.2,0
GTM,0,0,0,0
GNB,0,0,0,0
GUY,0.05,0,0.05,0
HND,0.25,0.25,0,-0.25
HRV,0.05,0,0.05,0
HTI,0.15,0.0555555555555556,0.1,-0.0555555555555556
HUN,0.1,0.0526315789473684,0.05,0.0526315789473684
IDN,0.15,0.0555555555555556,0.1,0.0555555555555556
IRL,0.2,0.2,0,0
ISR,0.15,0,0.15,0
IND,0.95,0.5,0.9,-0.5
IRQ,0.1,0.0526315789473684,0.05,0.0526315789473684
IRN,0.1,0.1,0,-0.1
ISL,0.35,0,0.35,0
ITA,0,0,0,0
JAM,0.05,0,0.05,0
JOR,0.05,0.05,0,-0.05
JPN,0.3,0.222222222222222,0.1,-0.222222222222222
KEN,0,0,0,0
KGZ,0.6,0,0.6,0
KHM,0,0,0,0
KIR,0.05,0,0.05,0
COM,0,0,0,0
KNA,0,0,0,0
PRK,0.3,0.3,0,-0.3
KOR,0.3,0.3,0,-0.3
,0.1,0.1,0,0
KWT,0,0,0,0
KAZ,0.1,0,0.1,0
LAO,0.5,0,0.5,0
LBN,0,0,0,0
LCA,0,0,0,0
LIE,0.05,0.05,0,0.05
LKA,0.2,0.157894736842105,0.05,-0.157894736842105
LBR,0.05,0.05,0,-0.05
LSO,0,0,0,0
LTU,0.25,0.0625,0.2,-0.0625
LUX,0,0,0,0
LVA,0.15,0.105263157894737,0.05,0
LBY,0.1,0.1,0,0
MAR,0.05,0,0.05,0
MCO,0.1,0.0526315789473684,0.05,-0.0526315789473684
MDA,0.25,0.166666666666667,0.1,0.0555555555555556
MNE,0.05,0.05,0,-0.05
MDG,0,0,0,0
MHL,0.1,0.0526315789473684,0.05,0.0526315789473684
MKD,0.25,0,0.25,0
MLI,0.1,0.1,0,-0.1
MNG,0.375,0.0909090909090909,0.3125,-0.0909090909090909
MRT,0,0,0,0
MLT,0,0,0,0
MUS,0.1,0.0526315789473684,0.05,-0.0526315789473684
MWI,0,0,0,0
MEX,0,0,0,0
MYS,0,0,0,0
MOZ,0.166666666666667,0,0.166666666666667,0
NER,0.1,0.0526315789473684,0.05,0.0526315789473684
NGA,0.15,0.0555555555555556,0.1,-0.0555555555555556
NIC,0.166666666666667,0,0.166666666666667,0
NLD,0,0,0,0
NOR,0.15,0.15,0,-0.05
NPL,0,0,0,0
NRU,0.05,0.05,0,0.05
NZL,0,0,0,0
OMN,0.1,0.1,0,-0.1
PAN,0,0,0,0
PER,0,0,0,0
PNG,0.05,0.05,0,-0.05
PHL,0.05,0,0.05,0
PAK,0,0,0,0
POL,0.25,0.166666666666667,0.1,-0.0555555555555556
PRT,0.05,0,0.05,0
PLW,0.1,0.0526315789473684,0.05,0.0526315789473684
PRY,0.05,0,0.05,0
QAT,0.15,0.105263157894737,0.05,0
ROU,0.15,0.0555555555555556,0.1,0.0555555555555556
SRB,0.05,0.05,0,-0.05
RUS,0.25,0.0625,0.2,-0.0625
RWA,0.1,0.0526315789473684,0.05,-0.0526315789473684
SAU,0.05,0,0.05,0
SLB,0.05,0.05,0,0.05
SYC,0,0,0,0
SDN,0.15,0.15,0,-0.05
SWE,0.05,0.05,0,-0.05
SGP,0.125,0.125,0,-0.125
SVN,0,0,0,0
SVK,0.05,0.05,0,0.05
SLE,0.05,0,0.05,0
SMR,0.05,0.05,0,0.05
SEN,0.1,0,0.1,0
SOM,0.05,0.05,0,-0.05
,0,0,0,0
SLV,0,0,0,0
SYR,0.1,0.0526315789473684,0.05,-0.0526315789473684
SWZ,0.2,0.2,0,0.1
TCD,0.1,0.0526315789473684,0.05,-0.0526315789473684
TGO,0.1,0,0.1,0
THA,0.2,0.0588235294117647,0.15,-0.0588235294117647
TJK,0.166666666666667,0,0.166666666666667,0
TKL,0,0,0,0
TKM,0,0,0,0
TUN,0,0,0,0
TON,0,0,0,0
TUR,0.05,0.05,0,-0.05
TTO,0.1,0.1,0,0
TUV,0,0,0,0
TWN,0,0,0,0
TZA,0.2,0.2,0,0.2
UKR,0,0,0,0
UGA,0,0,0,0
USA,0.35,0.235294117647059,0.15,0
URY,0,0,0,0
UZB,0.1,0.0526315789473684,0.05,-0.0526315789473684
VAT,0,0,0,0
VCT,0.1,0.1,0,0.1
VEN,0.05,0,0.05,0
VNM,0.25,0.210526315789474,0.05,-0.210526315789474
VUT,0.05,0,0.05,0
WSM,0,0,0,0
YEM,0.05,0.05,0,0.05
ZAF,0,0,0,0
ZMB,0.2,0.2,0,0.1
ZWE,0.05,0.05,0,0.05
